rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
88,axe,AXE,pai,1065.5691745632278,Policy Capability Score,zoib,0.47622948383661895,Average Distance Between At-Fault Incidents,0.47622948383661895,avg_dist_between_incidents_at_fault,1.73047058856016,Distance to GT Trajectory,1065.5691745632278,1065.5691745632278,axe-v6,57e20f5f-83b1-4f87-975c-0c07c9c5f468,SUCCEEDED,,direct-p5,2026-08-20T03:05:08+00:00
89,team-basiclab,BASICLAB,pai,1077.2008919421671,Policy Capability Score,zoib,0.31206963897344564,Average Distance Between At-Fault Incidents,0.31206963897344564,avg_dist_between_incidents_at_fault,2.071333930055081,Distance to GT Trajectory,1077.2008919421671,1077.2008919421671,nimbus-v4,f9b0f312-19ab-4bb2-910e-d403fa18565c,SUCCEEDED,,direct-p5,2026-07-31T12:34:41+00:00
90,team-basiclab,BASICLAB,pai,1074.3027803796274,Policy Capability Score,zoib,0.29363781611401274,Average Distance Between At-Fault Incidents,0.29363781611401274,avg_dist_between_incidents_at_fault,2.1371166303245324,Distance to GT Trajectory,1074.3027803796274,1074.3027803796274,nimbus-v5,5d28576d-ac55-4879-b17c-82be7962d3f8,SUCCEEDED,,direct-p5,2026-08-01T13:22:11+00:00
91,alpain-autonomy,Alpain Autonomy,pai,1069.1815529067978,Policy Capability Score,zoib,0.43218828421162103,Average Distance Between At-Fault Incidents,0.43218828421162103,avg_dist_between_incidents_at_fault,1.7454774444968075,Distance to GT Trajectory,1069.1815529067978,1069.1815529067978,transfuser-v7,35a61b0d-6fd8-4235-b106-777a77075308,SUCCEEDED,,direct-p5,2026-08-03T21:09:38+00:00
92,alpain-autonomy,Alpain Autonomy,pai,1088.2684280673586,Policy Capability Score,zoib,0.19271093957043345,Average Distance Between At-Fault Incidents,0.19271093957043345,avg_dist_between_incidents_at_fault,2.3371804028622405,Distance to GT Trajectory,1088.2684280673586,1088.2684280673586,transfuser-v3,6c371f70-d873-4898-ac4a-f423f4b59519,SUCCEEDED,,direct-p5,2026-07-23T11:11:04+00:00
93,alpain-autonomy,Alpain Autonomy,pai,1068.4759502094682,Policy Capability Score,zoib,0.21515058694945338,Average Distance Between At-Fault Incidents,0.21515058694945338,avg_dist_between_incidents_at_fault,2.4045329082772255,Distance to GT Trajectory,1068.4759502094682,1068.4759502094682,transfuser-v1,0bf4a895-2e69-4fde-b5ef-edbc215868c1,SUCCEEDED,,direct-p5,2026-07-03T09:32:09+00:00
94,axe,AXE,pai,1042.3148142178022,Policy Capability Score,zoib,0.2875060875019416,Average Distance Between At-Fault Incidents,0.2875060875019416,avg_dist_between_incidents_at_fault,1.7406890378415807,Distance to GT Trajectory,1042.3148142178022,1042.3148142178022,axe-v4,7142c152-bdd3-4783-a35e-3ba1b4335102,SUCCEEDED,,direct-p5,2026-08-11T03:49:07+00:00
95,cothlory,Cothlory,pai,1040.4962188055463,Policy Capability Score,zoib,0.33999015504630725,Average Distance Between At-Fault Incidents,0.33999015504630725,avg_dist_between_incidents_at_fault,1.8674203281849824,Distance to GT Trajectory,1040.4962188055463,1040.4962188055463,pai-route-speed-v3-fix17-fast-m1-20260803,8e36f665-1918-4732-ae90-aea3a599d89c,SUCCEEDED,,direct-p5,2026-08-03T06:21:06+00:00
96,team-alphamale,ILoveAlpamayo,pai,1056.0877783848869,Policy Capability Score,zoib,0.14540932131753478,Average Distance Between At-Fault Incidents,0.14540932131753478,avg_dist_between_incidents_at_fault,3.0587119970188628,Distance to GT Trajectory,1056.0877783848869,1056.0877783848869,r2bal-best006,15f475c6-e80b-4b1c-b5be-b1a59afc2926,SUCCEEDED,,direct-p5,2026-07-31T15:51:04+00:00
97,team-andrew-fox,Team Andrew S,pai,1034.7298926817211,Policy Capability Score,zoib,0.11426930746006789,Average Distance Between At-Fault Incidents,0.11426930746006789,avg_dist_between_incidents_at_fault,2.302444393527752,Distance to GT Trajectory,1034.7298926817211,1034.7298926817211,fix6-leadbrake,24ef4621-e7de-422e-9a7c-b8968aa3c715,SUCCEEDED,,direct-p5,2026-07-31T16:07:34+00:00
98,alpain-autonomy,Alpain Autonomy,pai,1024.3924395665035,Policy Capability Score,zoib,0.3465942445856736,Average Distance Between At-Fault Incidents,0.3465942445856736,avg_dist_between_incidents_at_fault,1.4222981400047081,Distance to GT Trajectory,1024.3924395665035,1024.3924395665035,transfuser-v0,fd6220d2-ceb3-4b69-94e3-5d2617b343a3,SUCCEEDED,,direct-p5,2026-07-21T18:55:08+00:00
99,fyrian-migu,Fyrian-Migu,pai,1020.0527773717499,Policy Capability Score,zoib,0.39013989573510716,Average Distance Between At-Fault Incidents,0.39013989573510716,avg_dist_between_incidents_at_fault,1.565530319493501,Distance to GT Trajectory,1020.0527773717499,1020.0527773717499,pai-v04c-clean-20260722-r1,7b87ab68-5c2e-406b-a89b-f31afdf9642c,SUCCEEDED,,direct-p5,2026-07-22T16:33:38+00:00
100,crow,CROW,pai,1000.9815932088665,Policy Capability Score,zoib,0.2016465859216964,Average Distance Between At-Fault Incidents,0.2016465859216964,avg_dist_between_incidents_at_fault,1.8605838901968113,Distance to GT Trajectory,1000.9815932088665,1000.9815932088665,curious-crow,d4d7a1bc-4bb8-440e-aa12-8fb956a767bf,SUCCEEDED,,direct-p5,2026-07-29T13:27:08+00:00
