rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
23,team-foxhihi,Team foxhihi,nuplan,1162.2644171116935,Policy Capability Score,zoib,1.870221727157738,Average Distance Between At-Fault Incidents,1.870221727157738,avg_dist_between_incidents_at_fault,1.7300754095907225,Distance to GT Trajectory,1162.2644171116935,1162.2644171116935,nu-driver-a5,e838fd29-31cd-49e6-b127-36b3756f9094,SUCCEEDED,,direct-p5,2026-07-30T07:01:48+00:00
24,team-andrew-fox,Team Andrew S,nuplan,1158.1281209927233,Policy Capability Score,zoib,0.5683495486413405,Average Distance Between At-Fault Incidents,0.5683495486413405,avg_dist_between_incidents_at_fault,2.438608674179437,Distance to GT Trajectory,1158.1281209927233,1158.1281209927233,accelfix-batch01,025cf242-cd83-4ba2-ad2f-69587ae9a0da,SUCCEEDED,,direct-p5,2026-07-30T09:17:17+00:00
25,team-andrew-fox,Team Andrew S,nuplan,1158.0356897945342,Policy Capability Score,zoib,0.5683495486413405,Average Distance Between At-Fault Incidents,0.5683495486413405,avg_dist_between_incidents_at_fault,2.4386086741794366,Distance to GT Trajectory,1158.0356897945342,1158.0356897945342,accelfix-batch01,592e8bff-bbe1-4c6d-a5bd-4081288f0efd,SUCCEEDED,,direct-p5,2026-07-30T08:36:20+00:00
26,team-andrew-fox,Team Andrew S,nuplan,1157.8051105285476,Policy Capability Score,zoib,0.5683495486413405,Average Distance Between At-Fault Incidents,0.5683495486413405,avg_dist_between_incidents_at_fault,2.438608674179438,Distance to GT Trajectory,1157.8051105285476,1157.8051105285476,fix6-leadbrake,b3c71876-583e-49b3-9c2b-83448d06af43,SUCCEEDED,,direct-p5,2026-07-31T18:46:21+00:00
27,opendrivelab-org,OpenDriveLab-Org,nuplan,1118.6104232800274,Policy Capability Score,zoib,4.301493480784481,Average Distance Between At-Fault Incidents,4.301493480784481,avg_dist_between_incidents_at_fault,1.4915768907047136,Distance to GT Trajectory,1118.6104232800274,1118.6104232800274,simscale-gtrs-dense-resnet-expert-v4,d6c5993c-6bec-4df0-99d4-71c0f015e93d,SUCCEEDED,,direct-p5,2026-08-06T14:27:19+00:00
28,vf-team,VF-Team,nuplan,1100.2680552245536,Policy Capability Score,zoib,12.747827029551562,Average Distance Between At-Fault Incidents,12.747827029551562,avg_dist_between_incidents_at_fault,1.0605738033881345,Distance to GT Trajectory,1100.2680552245536,1100.2680552245536,v2,0f1f262b-cd68-41d2-a00a-bb947d7d32a9,SUCCEEDED,,direct-p5,2026-08-06T18:11:51+00:00
29,vf-team,VF-Team,nuplan,1101.3697486605254,Policy Capability Score,zoib,9.55781085612393,Average Distance Between At-Fault Incidents,9.55781085612393,avg_dist_between_incidents_at_fault,1.0702599969801725,Distance to GT Trajectory,1101.3697486605254,1101.3697486605254,v2.1,5e80938c-2bb7-4c02-874e-6167d4764353,SUCCEEDED,,direct-p5,2026-08-19T19:57:21+00:00
30,opendrivelab-org,OpenDriveLab-Org,nuplan,1102.5227281120392,Policy Capability Score,zoib,3.3240159242966696,Average Distance Between At-Fault Incidents,3.3240159242966696,avg_dist_between_incidents_at_fault,1.2407112846103294,Distance to GT Trajectory,1102.5227281120392,1102.5227281120392,simscale-gtrs-dense-resnet-reward-v2,f0a2090f-d029-408d-a520-ac02a0bb4504,SUCCEEDED,,direct-p5,2026-08-02T15:53:18+00:00
31,fox,Fox,nuplan,1089.6572410356046,Policy Capability Score,zoib,1.2443684584852215,Average Distance Between At-Fault Incidents,1.2443684584852215,avg_dist_between_incidents_at_fault,1.7795203140505857,Distance to GT Trajectory,1089.6572410356046,1089.6572410356046,v1p6,3963a48a-cf47-4876-95ef-5cda1770d177,SUCCEEDED,,direct-p5,2026-07-01T08:10:54+00:00
32,opendrivelab-org,OpenDriveLab-Org,nuplan,1067.9489239258228,Policy Capability Score,zoib,2.9754424228384484,Average Distance Between At-Fault Incidents,2.9754424228384484,avg_dist_between_incidents_at_fault,1.2624560984894184,Distance to GT Trajectory,1067.9489239258228,1067.9489239258228,simscale-gtrs-dense-vov-expert-v4,ab0f6802-4475-4e72-bee2-647bb9cd9895,SUCCEEDED,,direct-p5,2026-08-06T16:37:49+00:00
