rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,policy_capability_score_lo,policy_capability_score_hi,policy_capability_score_spread,policy_capability_score_interval_confidence_level,policy_capability_score_interval_label,metric_algorithm,average_scene_score,average_scene_score_label,rank_lo,rank_hi,rank_spread,rank_spread_label,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,benchmark_id,record_kind,status,failure_code,evaluation_backend,submitted_at
32,fyrian-migu,Fyrian-Migu,pai,1122,Policy Capability Score,1039.6620180468685,1203.6594909724204,163.99747292555185,0.95,Policy Capability Score (95% interval),zoib,0.15163783922455923,Average Scene Score,32,36,4,Rank Spread,0.10780135376255622,Average Distance Between At-Fault Incidents,0.10780135376255622,avg_dist_between_incidents_at_fault,2.5085721346970935,Distance to GT Trajectory,1122,1122,p9-apf-cg-submit2-20260729-130419,e3ea5d2b-8442-45d5-8a91-6539882ad200,,submission,SUCCEEDED,,direct-p5,2026-09-17T18:00:04+00:00
33,metamon,메타몽,pai,1099,Policy Capability Score,1016.2941012593761,1180.97023258476,164.67613132538384,0.95,Policy Capability Score (95% interval),zoib,0.15245277987303327,Average Scene Score,32,37,5,Rank Spread,0.1050736541027068,Average Distance Between At-Fault Incidents,0.1050736541027068,avg_dist_between_incidents_at_fault,2.488832541721356,Distance to GT Trajectory,1099,1099,vavam-noblend-k16medoid-v23-20260829,765cab8c-a54c-4063-8c30-cbd86e4d1d8c,,submission,SUCCEEDED,,direct-p5,2026-09-21T11:50:05+00:00
34,lastga,lastGA,pai,1073,Policy Capability Score,983.3729116690911,1162.399741098473,179.0268294293819,0.95,Policy Capability Score (95% interval),zoib,0.1478147637119417,Average Scene Score,32,37,5,Rank Spread,0.10396820501075775,Average Distance Between At-Fault Incidents,0.10396820501075775,avg_dist_between_incidents_at_fault,2.4885247643179005,Distance to GT Trajectory,1073,1073,vavam-b-139k-deterministic-baseline-20260720,fb4a52ee-4e32-4be8-887a-9df8e6c5a00d,,submission,SUCCEEDED,,direct-p5,2026-09-17T21:09:08+00:00
35,alpain-autonomy,Alpain Autonomy (host),pai,1090,Policy Capability Score,1001.1172772473845,1179.594170741954,178.47689349456948,0.95,Policy Capability Score (95% interval),zoib,0.14713783370808936,Average Scene Score,32,37,5,Rank Spread,0.10286952044800428,Average Distance Between At-Fault Incidents,0.10286952044800428,avg_dist_between_incidents_at_fault,2.5436482607152913,Distance to GT Trajectory,1090,1090,mars-v0-2hz,ff8bca0b-bf88-47e0-929d-8cdeaaf7d999,,submission,SUCCEEDED,,direct-p5,2026-09-03T07:12:01+00:00
36,team-alxpng,Team Alex,pai,1053,Policy Capability Score,965.7414166322777,1140.869651437334,175.1282348050562,0.95,Policy Capability Score (95% interval),zoib,0.14673981955652016,Average Scene Score,32,38,6,Rank Spread,0.10675553919545452,Average Distance Between At-Fault Incidents,0.10675553919545452,avg_dist_between_incidents_at_fault,2.514961038680437,Distance to GT Trajectory,1053,1053,vavam-baseline-v1,20fb7e10-b6e3-4146-85e4-38d25ec38717,,submission,SUCCEEDED,,direct-p5,2026-09-16T12:54:34+00:00
37,team-alphamale,ILoveAlpamayo,pai,966,Policy Capability Score,880.0532826978679,1051.1658407807347,171.11255808286683,0.95,Policy Capability Score (95% interval),zoib,0.13287747046262613,Average Scene Score,36,38,2,Rank Spread,0.10087634991511754,Average Distance Between At-Fault Incidents,0.10087634991511754,avg_dist_between_incidents_at_fault,2.5137378765763145,Distance to GT Trajectory,966,966,baseline-k5-medoid,6dcff117-7e8b-4310-a8eb-a3d75155db83,,submission,SUCCEEDED,,direct-p5,2026-09-16T20:08:36+00:00
38,py123d-garage,py123d-garage (host),pai,1019,Policy Capability Score,927.6675323619828,1110.5115809655433,182.8440486035605,0.95,Policy Capability Score (95% interval),zoib,0.1280518307129676,Average Scene Score,33,38,5,Rank Spread,0.09772460722047209,Average Distance Between At-Fault Incidents,0.09772460722047209,avg_dist_between_incidents_at_fault,2.514119952623401,Distance to GT Trajectory,1019,1019,008-vavam-v3,68ce5ec9-6454-4374-a006-88e858800c77,,submission,SUCCEEDED,,direct-p5,2026-09-04T14:13:37+00:00
39,alpain-autonomy,Alpain Autonomy (host),pai,659,Policy Capability Score,543.8932083674483,773.3869210137509,229.49371264630258,0.95,Policy Capability Score (95% interval),zoib,0.06733333146644933,Average Scene Score,39,41,2,Rank Spread,0.06955231214784337,Average Distance Between At-Fault Incidents,0.06955231214784337,avg_dist_between_incidents_at_fault,2.544461444611582,Distance to GT Trajectory,659,659,mars-v0-10hz,dfa1b8aa-0395-4ec4-af10-d3fc844ac309,,submission,SUCCEEDED,,direct-p5,2026-09-03T00:52:03+00:00
40,host,Host (host),pai,624,Policy Capability Score,532.8233706793505,715.8002123057704,182.97684162641985,0.95,Policy Capability Score (95% interval),zoib,0.04109177190083562,Average Scene Score,39,41,2,Rank Spread,0.06197954762342808,Average Distance Between At-Fault Incidents,0.06197954762342808,avg_dist_between_incidents_at_fault,2.4798146717723695,Distance to GT Trajectory,624,624,policy_4,0f4c5f5b-4ea3-4bef-9281-0293aa42ec63,,submission,SUCCEEDED,,direct-p5,2026-09-02T17:32:06+00:00
41,host,Host (host),pai,600,Policy Capability Score,510.2626153375045,689.7373846624953,179.4747693249908,0.95,Policy Capability Score (95% interval),zoib,0.030808769267309015,Average Scene Score,39,41,2,Rank Spread,0.05469858557837148,Average Distance Between At-Fault Incidents,0.05469858557837148,avg_dist_between_incidents_at_fault,2.463273308672371,Distance to GT Trajectory,600,600,policy_4,8b790a5e-b6d0-419a-98f6-8648367b6ce1,,submission,SUCCEEDED,,direct-p5,2026-09-02T20:41:06+00:00
